Title,Date,Time,Room,Overview,Speakers,Moderator,Category,CE_Credits,Primary_Community,Learning_Objectives
Beyond Survival: Transforming Correctional Culture through 25 Years of Staff Resilience Programs,"Monday, August 25, 2025",4:00 pm – 5:30 pm,Room 107,,,,,CE|CEU,Adult Corrections,
________________,,,,,,,,,,
Amphetamine Abuse: A “Chronics” Problem,"Monday, August 25, 2025",4:00 pm – 5:30 pm,Room 109,,,,,CE|CME,Adult Corrections,
________________,,,,,,,,,,
Security and Healthcare’s Collaboration in Recognizing and Responding to the Acute Medical and Behavioral Healthcare Challenges at Intake,"Monday, August 25, 2025",4:00 pm – 5:30 pm,Room 111,,,,,CE|CME,Adult Corrections|Prisons & Jails,
Effective Documentation in Correctional Mental Health: Best Practices and Strategies,"Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 105,"Accurate, concise documentation is essential for effective treatment planning in correctional settings. This talk explores best practices for developing clear, goal-oriented treatment plans that enhance care continuity and meet legal/ethical standards. Common challenges, including security restrictions, high caseloads, and interdisciplinary coordination, will be addressed. Strategies for overcoming barriers—such as structured templates, collaborative planning, and risk-focused documentation—will be discussed, ensuring mental health services are both impactful and defensible.","Christina Riccardi, Ph.D., CCHP-MH, Clinical Operations Specialist; Seaaira Reedy, Psy.D., CCHP-MH, Vice President of Behavioral Health Services for Clinical Operations; Kathryn Cook, Psy.D., CCHP, Clinical Operations Specialist","Jasmine Henry, M.S., LMHC, Compliance Manager",,ΨCE|CE|CME|CEU,Adult Corrections/Prisons & Jails,"Learn key principles of effective documentation in correctional mental health, including clarity, conciseness, and goal-oriented treatment planning.; Understand the unique barriers to comprehensive documentation in correctional settings, such as security constraints, high caseloads, and interdisciplinary communication difficulties.; Explore practical strategies for overcoming documentation barriers, including collaborative planning, and risk-focused documentation."
Emerging Trends in Correctional Healthcare,"Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 107,"Correctional health care staff are inundated with information that is pertinent to providing care to our patients. There are guidelines and practice updates that are updated for the management of patients. However, there are new concepts, and new diseases are emerging that providers need to be abreast in order to meet the demands for appropriate treatment of patients entering correctional environment. This workshop will present new trends, guidelines and best expected practices in the treatment of correctional populations.","Harbans S. Deol, M.D., Chief Medical Officer, VitalCore Health Strategies","John Tomarchio, Ph.D., Regional Medical Director, VitalCore Health Strategies",,CE|CME|CERP,Adult Corrections,"The workshop will present new guidelines in the management of our patients.; New emerging diseases will be presented that will impact Correctional health care.; Participants will be able to take pertinent information that will enhance their practice within the correctional settings."
"From Treatment to Transformation: Hepatitis C Treatment, Peer Education, and the ECHO Model in Corrections","Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 109,"To eliminate hepatitis C virus (HCV), expanding HCV treatment in carceral settings is critical. New Mexico’s Peer Education Project (NMPEP), in partnership with Project ECHO and the NM Corrections Department, trains incarcerated individuals to educate peers on HCV prevention, testing, and treatment. This peer-led approach builds trust and promotes treatment adherence. In 2020, NMPEP expanded to include a Community Peer Education Project (CPEP) that employs formerly incarcerated educators to provide education and support after release. This model supports the full HCV care continuum—inside and out—reinforcing the belief that prisoner health is community health.","Daniel Rowan, Senior Program Manager, Civics and Justice Programs, Project ECHO; David Selvage, MHS, PA-C, Strategic Support Manager; Kira Vaughns, Senior Community Peer Educator, Project ECHO, University of New Mexico","Daniel Rowan, Senior Program Manager, Civics and Justice Programs, Project ECHO",,CE|CME,Adult Corrections,"Describe the ECHO model and how it is used to expand access to HCV treatment in correctional settings. Participants will understand how Project ECHO supports prison-based medical teams in managing HCV through case-based learning and specialist mentorship.; Participants will learn how to apply the ECHO model alongside peer education to develop inmate-led health initiatives, focusing on an effective HCV program and how peer educators can be empowered to deliver health and reentry interventions in prison settings, thus strengthening education staff and programming efforts.; Participants will understand how peer education creates opportunities for both incarcerated and formerly incarcerated individuals to provide education, linkage to healthcare, and reentry support, giving them a voice in shaping health initiatives and fostering a culture of wellness within prisons and the broader community."
What Would You Do: Ethical Considerations for the Correctional Nurse,"Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 111,"Individuals practicing as licensed nurses, regardless of the setting, must be familiar with, and comply with the laws/rules and standards governing their role and practice setting, in the compact states or specific state in which they practice. As the Nurse Practice Act (NPA) can change each legislative session, practicing nurses must stay abreast of any changes. Not knowing is not an excuse. This workshop will discuss the Nurse Practice Act (NPA) in general, Standards of Nursing Practice, principles of nursing ethics, and professional boundaries. Specific ethical issues that can arise in a jail or prison setting will also be discussed. Discussions of Rules 217.11 and 217.12 of the Texas NPA will be discussed.","Arlita Jefferson, DNP, MSN-Ed., MPH; Chris Black-Edwards, RN, BSN, CHSA","Chris Black-Edwards, RN, BSN, CHSA",,CE,Adult Corrections,"List three of the seven primary ethical principles.; List three of the nine American Nurses Association (ANA) Code of Ethics Provisions.; Discuss how, as managers, they will promote increased knowledge of front line staff to the various resources that will guide a licensed nurse’s practice as it relates to professionalism and ethical dilemmas."
"Operational, Clinical, and Public Health Strategies in Management of a Botulism Outbreak in a Large, Medium-Security Prison Setting","Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 105,"During August/September of 2024, the Ohio Department of Rehabilitation and Correction experienced a presumptive botulism outbreak at the Belmont Correctional Institution in St. Clairsville, Ohio. This workshop will cover the multi-disciplinary team management of this outbreak from the clinical, custody, and public health perspectives.","Kevin L. Runyon, BS, RN, Medical Operations Director; Jennifer A. Urra, MPH, RN, CCHP","Jennifer A. Urra, MPH, RN, CCHP",,CE|CME|CERP,Adult Corrections,"Identify evidence-based processes for public health management of a botulism outbreak at a correctional facility.; Understand the importance of a multi-disciplinary approach in critical incident management of a botulism outbreak.; Identify botulism signs and symptoms, diagnostic criteria, and strategic partnerships that are necessary to manage a botulism outbreak."
Dementia in the Incarcerated Population: An Overview of Present and Future Treatment and Management,"Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 107,"The purpose of this presentation is to inform the audience about the growing elderly population in correctional custody.  A significant portion of this elderly incarcerated population has some form of cognitive impairment, most commonly dementia.  We will demonstrate statistics that show the size of this population in the past, compared to today, and forecast what the size of this population will likely be in the future.  Then, we will discuss how dementia is diagnosed.  Next, we will discuss how dementia is diagnosed and treatment options available.  Lastly, we will discuss 8 practices that can be implemented to provide better care for this inmate population.","Danny Martinez, M.D., MPH, Chief of Medical Services; Thomas Culbreath, Psy.D., Internship and Residency Training Director, Zephyrhills Correctional Institution; Jerome Greenfield, M.D., DLFAPA, Deputy Chief Officer–Psychiatry","Danny Martinez, M.D., MPH, Chief of Medical Services",,ΨCE|CE|CME|CERP|CEU,Adult Corrections,"Identify inmates with dementia.; Know the treatment options available for patients with dementia.; Identify 8 practices that are currently being implemented to support better care for prisoners with dementia."
End of Life Care in the Correctional Setting,"Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 109,"This presentation will focus on those that are at the end of life within a correctional setting. Both Prisons and Jails strive to provide the best strategies for the health and well being of those that are at the end of life. We will discuss advanced directives, use of hospice services, compassionate release along with general strategies to care for those at the end of their life.","James C. Welch, RN, BLS, HNB-BC","Terri Catlett, Director of Correctional Health, American Correctional Association, Alexandria",,CE|CME|CERP|CEU,Prisons & Jails,"Identify why advanced directives are important in the correctional setting.; Describe how to utilize hospice services in jails and/or prisons.; Identify three strategies you can use in the care of those at the end of life."
Medical Effects of K2 and Synthetic Drugs: Not Your Grandfather's Marijuana,"Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 111,"Synthetic cannabinoids are not one drug but different synthetic drugs that are manufactured that have unknown health risks. They are popular and can be bought legally in stores across the U.S. They are significant public health concerns especially among incarcerated individuals due to increased reports of abuse. New reports highlight consequences of K2/spices among the prison population. This workshop will discuss the pathophysiological effects of synthetics cannabinoids on tissues and body systems. They act on the same brain cells receptors as THC, the main ingredient in marijuana.  Synthetic cannabinoids affect the brain in different and unpredictable ways compared to marijuana.","Harbans S. Deol, M.D., Chief Medical Officer, VitalCore Health Strategies","John Tomarchio, Ph.D., Regional Medical Director, VitalCore Health Strategies",,CE|CME|CERP|CEU,Adult Corrections,"Attendees will understand that synthetic cannabinoids are not a single class of drug but manufactured in hundreds of combinations to affect health care.; Attendees will understand the numerous side effects on the physiology of tissues and the body.; Attendees will gain an understanding of the mechanisms and side effects of different class of synthetic cannabinoids and the response to treatment of such drugs."
Clinical Skills for Assessing Suicide and Self Harm,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 105,"This workshop equips licensed mental health professionals to assess and address both suicidality and self-directed violence using evidence-informed principles. Participants will learn to identify key risk and protective factors, apply clinical judgment to assess acute and chronic risk, and increase their understanding of collaborative safety planning. Emphasis will be placed on engaging clients in open dialogue about self-harm and suicide, understanding the dynamic nature of risk, and integrating strengths-based, culturally responsive approaches in practice.","David Dawdy, MA, Consultant, TBD Solutions","Lewis J. Peiper, Ph.D., Correctional Psychologist and Chief of Behavioral Health, North Carolina Department of Adult Correction",,ΨCE|CE|CEU,Adult Corrections,"Participants will identify and describe current, evidence-informed risk and protective factors for suicidality and self-directed violence across diverse populations.; Participants will learn to use evidence-informed strategies for suicide risk assessment, including effective clinical inquiry and judgment.; Participants will increase their understanding of the key components and rationale of collaborative safety planning as an intervention for suicide and self-directed violence risk."
Oral Health Considerations in Substance Use Disorder Treatment in Correctional Setting,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 107,Patients with substance use disorder tend to have significant oral health problems. Some of the current medications used in the treatment of substance use disorder in correctional settings could negatively impact the oral health of the patients.  This workshop will present oral manifestations of patients with substance use disorder and discuss effective strategies to mitigate the oral health effects of medications used in treating patients with substance use disorder in correctional settings.,"Michael Adu-Tutu, DDS, MBA, CCHP-A; David E. Donnelly, DDS, Dental Director, Ohio Department of Rehabilitation and Correction; Mahdokht Farahani, DDS, Statewide Dental Director Missouri, Centurion Health; Lolade Samuel-Cash, DDS, Site Dental Director, Guilford County Detention Center","David E. Donnelly, DDS, Dental Director, Ohio Department of Rehabilitation and Correction",,CE|CME|CERP|CEU,Prisons & Jails,"Participants will recognize the oral manifestations of substance use disorder.; Participants will discuss the effects of certain medications utilized for treatment of substance use disorder on oral health.; Participants will identify effective strategies for mitigating the effects of substance use disorder on oral health."
Community Corrections Alternative Program: An Evidence-Based Alternative to Incarceration for Those with Substance Use Disorder,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 109,"In the U.S., 366,000 people are incarcerated for drug offenses daily, and Virginia sees significant drug-related arrests and overdose deaths. To combat this, the Virginia Department of Corrections launched the Community Corrections Alternative Program (CCAP) in 2017, offering an alternative to incarceration for individuals with substance use disorders. CCAP uses evidence-based practices like Cognitive Behavioral Therapy (CBT) and the Risk-Need-Responsivity model, alongside therapeutic communities, education, and vocational training to reduce recidivism. Participants also gain community employment opportunities post-program. Research shows CCAP graduates are less likely to reoffend and remain sober, with many achieving lasting recovery.","Hannah M. White, M.A., CCAP Program Manager, Virginia Department of Corrections; Denise C. Hayes, EBP Operations Administrator, Virginia Department of Corrections, Richmond; Shannon D. Fuller, Superintendent – Appalachian CCAP, Virginia Department of Corrections, Honaker","Denise C. Hayes, EBP Operations Administrator, Virginia Department of Corrections, Richmond",,CE|CEU,Community Corrections,"Describe the Community Corrections Alternative Programs and how the variety of evidence-based treatments and opportunities for probationers struggling with substance use disorder reduce recidivism and address recovery needs.; Provide an overview of the evidence-based staff intervention techniques that are utilized in the program to support positive behavior change and lasting recovery.; Review research findings of program effectiveness as an innovative solution for the judiciary with improved outcomes for probationer success in the community."
Remarkably Resilient Together®: Empowering Healing from Trauma Through Learning and Skill Building Inside a Kansas Women's Prison,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 111,"Remarkably Resilient Together (RRT) is an easy to implement, cost-effective program partnering staff with residents to first learn then teach others (a peer-to-peer model) a 90-minute workshop on trauma, its impacts, and how to strengthen resilience. This program provides practical skills for empowering individuals to recognize when they are triggered and why, and how to use skills to move from the instant reaction to a more thoughtful response. Creating an RRT culture inside the facility by partnering staff and resident teaching and learning has been effective within Topeka Correctional Facility, a women's prison in Kansas. Johnson County KS Dept. of Corrections is using this program with reentry, and substance use populations.","Holly Chavez, Facilities Services Administrator, Topeka Correctional Facility, Kansas Department of Corrections; Kathleen Harnish McKune, Chief Executive Officer, Remarkably Resilient, Inc.","David R. McKune, Retired Warden, Lansing Correctional Facility, Remarkably Resilient",,CE|CEU,Prisons & Jails,"Share the Remarkably Resilient Together (RRT) workshop so you experience the content as well as the ease of learning and therefore teaching these materials.; Provide eight of the 52 emotional regulation skills and eight of the 52 self-care practices from the RRT materials allowing reflection time for you to choose 2-3 to practice strengthening your own resilience.; Provide practical insights on implementation of the RRT workshops within correctional settings and share feedback from staff and residents."
Correctional Behavioral Health Certification,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 105,"The Correctional Behavioral Health Certification (CBHC) is one of the most successful professional certifications offered by the American Correctional Association. It has become a prestigious recognition of corrections staff who have demonstrated knowledge and skills associated with the provision of behavioral health services for mentally ill inmates or offenders. Providing a national standardized certification that validates capability in working with mentally ill offenders and improves ability to compete in the job market, Correctional Officers, Community Corrections Officers and Allied Behavioral Health in jails and prisons throughout the United States have been awarded the CBHC. Don’t miss this opportunity to learn how you and staff in your jurisdiction can improve management of mentally ill inmates or offenders and enhance their professional standing as corrections professionals.","Terri Catlett, Director of Correctional Health, American Correctional Association, Alexandria; Dean Aufderheide, Ph.D., Director of Mental Health, American Correctional Association; Tony Wilkes, Chief of Corrections (Retired), Davidson County Sheriff’s Office, Henderson","Terri Catlett, Director of Correctional Health, American Correctional Association, Alexandria",,,Adult Corrections,"Participants will be able to explain the benefit of obtaining the Correctional Behavioral Health Certification.; Participants will be able to identify the eligibility criteria for achieving the Correctional Behavioral Health Certification.; Participants will be able to explain the Correctional Behavioral Health Certification process."
ACA Project ECHO—Year 1 in Review,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 107,"ACA Project ECHO represents the first application of the ECHO “all teach/all learn” concept nationally focused on correctional healthcare personnel in jails and prisons. Initially, its purpose is to improve the treatment and management of patients with hepatitis C virus infection within correctional populations. ACA Project ECHO involves monthly virtual national presentations including a didactic lecture focused on a specific treatment challenge associated with hepatitis C and case presentations with discussion supported by a subject matter expert. This workshop describes the process of building the ACA ECHO Project, implementation of the project and the outcomes, both expected and unanticipated, that have been measured.","Kathleen F. Maurer, M.D., MPH, Physician Consultant; John J. Hagan, M.D., FASAM, Physician Consultant; Jennifer G. Clarke, M.D., MPH, Physician Consultant","John J. Hagan, M.D., FASAM, Physician Consultant",,CE|CME,Adult Corrections,"Describe the goals and objectives of the ACA-Project ECHO program.; Appreciate the history of the national ECHO model as well as the value of the “all teach/all learn” educational approach and its application to instructing healthcare professionals.; Understand the design of the ECHO Hub Team and individual ACA-Project ECHO programs and how this model achieves the goals of the national ECHO program within its correctional healthcare application."
Developing an Inmate Volunteer Caregiver Program within the Prison System to Assist the Terminally Ill and Geriatric Populations,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 109,"The aging prison population presents unique end-of-life care challenges, with inmates 55 and older now comprising 15% of incarcerated individuals. Our innovative program trains inmates as hospice caregivers to address gaps in patient support. Through a comprehensive training curriculum covering medical, emotional, and spiritual care, we enable inmates to use their deep understanding of prison culture to provide compassionate support for terminally ill and elderly prisoners, allowing them to gain purpose and healing while their peers receive support for end-of-life care. Rigorous inmate selection, ongoing training, and strict confidentiality protocols ensure a dignified, patient-centered approach to hospice care within correctional settings.","Shekena Peoples, M.A., MHA, LPC; Daniel Mullins, BSN, RN, CCHP; Wanda Sermons, RN, CCHP, Division Director of Nursing","Shekena Peoples, M.A., MHA, Division Director of Community Medical Outreach",,CE|CEU,Adult Corrections,"Develop a Comprehensive Training Framework: Design a rigorous, trauma-informed curriculum that equips incarcerated volunteers with the clinical, emotional, and ethical skills necessary to provide high-quality end-of-life supportive care, addressing the unique challenges of the prison healthcare environment.; Establish Robust Inmate Selection and Support Protocols: Create a systematic approach to identifying, screening, and supporting inmate volunteers that prioritizes patient safety, psychological rehabilitation, and the cultivation of empathy, while maintaining strict institutional security standards.; Implement an Interdisciplinary Governance Model: Construct a collaborative oversight structure that integrates correctional staff, medical professionals, mental health experts, and trained inmate volunteers to ensure comprehensive, compassionate, and ethically sound hospice care within correctional settings."
Mental Health Emergencies and Medical Mimicry,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 111,"Mental Health emergencies are an unfortunately frequent occurrence in the correctional arena. However, not everything that looks like a mental health emergency is a mental health emergency. Assuming everything is as it seems may delay appropriate medical treatment with potentially catastrophic consequences. This workshop is intended to help the listener not only identify the mental health emergency but also consider causes other than psychosis which can cause or contribute to the emergency.","Stephanie L. Gravning, M.D., State Correctional Health Authority, North Dakota Department of Corrections and Rehabilitation","Jerome Greenfield, M.D., DLFAPA, Deputy Chief Officer–Psychiatry",,ΨCE|CE|CME,Adult Corrections|Prisons,"Define what constitutes a mental health emergency.; Participants will identify the most common mental health emergencies in the correctional setting.; Participants will understand medical illnesses which may masquerade and mental health emergencies and become familiar with how to tell the difference."
Breaking Bad: Why Good Staff Do Bad Things,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 105,"Challenges with staff misconduct is a critical concern for correctional officials across the nation.  A Correctional Psychologist and Security Subject Matter Expert will examine the top 10 psychological factors and conditions that make staff at risk for professional misconduct.  Using visual media to illustrate research findings, participants will discover the hidden influences for how good staff can become at risk for bad behavior. Participants will acquire the skills to identify the risk factors and the tools to begin reducing the incidence of professional misconduct in their agencies. Key components to deterrence will be examined.","Dean Aufderheide, Ph.D., ABCP, Director of Mental Health; Tony Wilkes, Chief of Corrections (Retired), Davidson County Sheriff’s Office, Henderson","Stephen M. Herrick, Ph.D., MSHA, Health Services Director",,ΨCE|CE|CERP|CEU,Adult Corrections,"Participants will be able to identify 10 psychological factors involved in risk for professional misconduct.; Participants will be able to discern three warning signs for individuals at risk for professional misconduct.; Participants will be able to recognize two interventions for reducing the risk for professional misconduct."
Containment and Prevention of Addictions in Queretaro's Penitentiary Centers,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 107,"The strategy of containment and prevention of addictions inside the prisons of Queretaro will be shown, through the application of specific methodologies for prevention and treatment, by means of the Multimodal Intervention Plan for the Prevention and Care of Addictions, providing various mechanisms for persons deprived of liberty who have a history of consumption of psychoactive substances on the outside, with the aim of providing a comprehensive treatment for the healthy management of consumption and symptoms associated with the abuse of these substances, based on tangible results.","Gustavo López Acosta, State Commissioner, State Commission of Queretaro’s Penitentiary System, Queretaro; Ana Lucía Esquivel Guadarrama, M.A., Director of Social Reintegration, State Commission of Queretaro’s Penitentiary System","Eli Mendoza, Accreditation Specialist for Mexico, American Correctional Association, Alexandria",,CE|CEU,Adult Corrections,"Participants will learn about the strategy of containment and prevention of addictions inside Queretaro's penitentiary centers.; Participants will learn about the Multimodal Intervention Plan for the Prevention and Care of Addictions.; Participants will know the results of the strategy of containment and prevention of addictions inside Queretaro's penitentiary centers."
Correctional Clinical Updates,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 109,This workshop will cover current clinical issues in the correctional setting to provide updates on standards of care. Specific focus will be placed on infectious diseases topics including measles and syphilis. These particular illnesses are emerging in incidence and pose unique challenges and opportunities to positively impact public health. We will also examine current recommendations for preventative health screening in gender non-conforming residents.,"Stephanie L. Gravning, M.D., State Correctional Health Authority, North Dakota Department of Corrections and Rehabilitation","John J. Hagan, M.D., FASAM, Physician Consultant",,CE|CME,Adult Corrections,"Participants will be able to outline prevention, diagnosis, and treatment of measles in the correctional setting.; Participants will be able to outline screening, diagnosis, treatment, and complications of syphilis.; Participants will be able to identify and implement preventative health screening topics in gender non-conforming patients."
Manufacturer Patient Assistance Programs in the Correctional Setting: A Tool to Potentially Reduce Medication Expenditures,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 111,"United States pharmaceutical spending exceeds $600 billion yearly, with over 50% attributed to specialty drugs. High-cost complex therapies have led to specialty treatments ranging from $10,000 to $7,000,000 per patient annually. High medication costs in the United States limits access for many patients. Pharmaceutical manufacturers offer patient assistance programs to help uninsured individuals. This presentation will cover identifying eligible patients, applying to these programs, and effective management strategies within the Georgia Department of Corrections.","Marlah H. Mardis, M.D., DABFM, Statewide Medical Director; Kareem A. Karara, Pharm.D., BCPS, CCHP; Elaine Reifinger, Pharm.D., RPH, Pharmacy Director","J. Randall (Randy) Sauls, MBA, FACHE, Assistant Commissioner",,CE|CME,Adult Corrections|Prisons,"Identify the appropriate operational model and patient demographics to develop an access pipeline to manufacturer Patient Assistance Programs.; Develop operational processes necessary to provide access to manufacturer Patient Assistance Programs.; Identify challenges of program implementation in a correctional setting. Create effective follow-up processes to avoid enrollment and replenishment lapses."
Insights into the Florida Department of Correction's Residential Continuum of Care Units: An innovative Approach to Treating Diverse Populations,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 105,"The Florida Department of Correction's Residential Continuum of Care (RCC) is a specialized residential mental health treatment program that provides intensive outpatient mental health services in a protective environment for inmates with serious psychological impairment, and a historical inability to successfully adjust to the daily living demands of general population. This workshop will provide an overview of the three RCC units, the positive outcomes associated with the program and a brief overview of the current methods of auditing the units to improve the overall quality of care.","Tommy McDonald, LMHC, QS, Behavioral Risk Management RCC Team Lead; Suzonne M. Kline, Psy.D., Chief of Mental Health, Florida Department of Corrections","Clayton Weiss, MPH, Director Office of Health Services, Florida Department of Corrections",,CE|CEU,Adult Corrections|Prisons,"Describe the target populations and services offered in the Residential Continuum of Care units.; Discuss the positive impacts of the Residential Continuum of Care program.; Define ongoing performance monitoring of the Residential Continuum of Care program."
Leveraging CCBHCs to Support Justice-Involved Individuals: Enhancing Collaboration and Outcomes,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 107,"This workshop educates correction professionals on how Certified Community Behavioral Health Clinics (CCBHCs) address mental health and substance use needs of justice-involved individuals. Attendees will learn best practices for collaboration between corrections and CCBHCs, effective referral processes, and successful partnership models. The session will also discuss recent policy developments, including CMS 1115 Reentry Waivers, which expand Medicaid coverage pre-release, significantly enhance healthcare continuity, reducing recidivism, and improving community reintegration outcomes.","David Dawdy, M.A., LLP, CCHP; Carmen M. McIntyre León, M.D., Associate Chair, Community Affairs","David Dawdy, M.A., LLP, CCHP",,CE|CEU,Adult Corrections,"Understand the comprehensive services CCBHCs offer to support justice-involved individuals, including mental health, substance use treatment, and crisis services.; Develop strategies for effective collaboration between justice diversion programs and CCBHCs to improve outcomes and reduce recidivism.; Identify successful models and partnerships that integrate CCBHCs into justice systems, enhancing continuity of care and community reentry support."
Advancing Rehabilitation in Correctional Systems: Implementation of the 5-Key Model for Reentry and Well-Being Development,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 109,"The Nebraska Department of Correctional Services in collaboration with Dr. Carrie Pettus and Wellbeing and Equity Innovations, Inc. has implemented TRANSFORM Nebraska and the 5-Key Model for Reentry and Well-Being Development. This presentation will discuss the impact of the 5-Key Model within Nebraska state prisons. Discussion will include an explanation of associated programming, model principles and tools, and the inclusion of peer facilitators. The 5-Key Model moves the practice of corrections away from deficit-focused models and refocuses rehabilitative services on the individual’s strengths and psychological being to improve overall public health and safety.","Dawn-Renee Smith, Deputy Director – Rehabilitative Services, Nebraska Department of Correctional Services, Lincoln; Carrie Pettus, Ph.D., MSW, President & CEO","Dawn-Renee Smith, Deputy Director – Rehabilitative Services, Nebraska Department of Correctional Services, Lincoln",,,Adult Corrections,"At the conclusion of this session, participants will have knowledge o the 5-Keys for Reentry and Wellbeing Development Model; to include model overview, definitions, history, and research.; At the conclusion of this session, participants will be able to identify the benefits of strength-based rehabilitation models compared to standard deficit-based correctional models.; At the conclusion of this session, participants will be able to articulate the importance and benefit of peer involvement on the creation of a correctional environment supportive of transformational change."
Verbal Jujitsu: How to Manage Difficult Encounters With Patients,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 111,"Everybody in correctional medicine has experienced confrontational and unpleasant patient encounters. Why do these happen, especially when we are just trying to help our patients? And we can't fire patients, as can be done in outside medical clinics. Verbal jujitsu is a set of skills you can use to avoid confrontations and maintain a healthy relationship with your incarcerated patients.","Jeffrey E. Keller, M.D., President, American College of Correctional Physicians","John P. May, M.D., FACP, CCHP",,CE|CERP,Adult Corrections,"Participants will define ""empathy"" and how to use it to understand why confrontations happen.; Participants will demonstrate techniques to defuse anger and aggression.; Participants will describe verbal jujitsu skills to avoid confrontation and maintain healthy relationships with patients."
ADHD: Lacking Focus in Corrections,"Monday, August 25, 2025",8:00 am – 9:30 am,Room 105,"This presentation examines the critical intersection of ADHD and the criminal justice system, addressing the significant overrepresentation of individuals with ADHD in correctional settings. It explores challenges of misdiagnosis and underdiagnosis within institutional environments, alongside common comorbidities that complicate assessment. The presentation provides evidence-based approaches for effective screening and comprehensive evaluation in resource-limited settings. By highlighting systemic barriers and proposing integrated care models, this presentation aims to improve identification and treatment of ADHD among justice- involved individuals, potentially reducing recidivism and improving rehabilitation outcomes.","Eugene (Gene) Herrmann, Ph.D., Senior Director, Behavioral Health; Mathew Abraham, Psy.D., Senior Director, Treatment and Program Development; Yamileth Fisher, Psy.D., Corporate Behavioral Health Manager, The GEO Group","Eugene (Gene) Herrmann, Ph.D., Senior Director, Behavioral Health",,ΨCE|CE|CME,Adult Corrections|Jails|Prisons,"Identify the prevalence of ADHD in the criminal justice system.; Explain the challenges of comorbidity and accurately diagnose ADHD.; Identify treatment approaches and system recommendations in effectively treating ADHD in criminal justice settings."
